text,clean_text,processed_text,emojis,label,app,language
"mudah sekali, masa pun jimat",mudah sekali masa pun jimat,mudah jimat,,positive,Touch n Go eWallet,ms
can't find the name of klinik that's I wanted,cant find the name of klinik thats i wanted,cant find name klinik that want,,neutral,MySejahtera,en
sobrang pricey na ng pamasahe ng grab jusko. overpriced. 🥹😭😭,sobrang pricey na ng pamasahe ng grab jusko overpriced,sobrang pricey na ng pamasah ng grab jusko overpr,🥹😭,negative,Grab,en
saya nak tukar no fon baru ..tapi sulit nak buat..boleh bagi tahu saya macam mana nak buat..fon lama saya hilang kena curi,saya nak tukar no fon baru tapi sulit nak buatboleh bagi tahu saya macam mana nak buatfon lama saya hilang kena curi,nak tukar no fon sulit nak buatboleh nak buatfon hilang curi,,negative,MySejahtera,ms
one man show,one man show,one man show,,neutral,Touch n Go eWallet,en
"Touch nGo eWallet provides a convenient cashless payment solution. Transactions are quick, secure, and suitable for daily use.",touch ngo ewallet provides a convenient cashless payment solution transactions are quick secure and suitable for daily use,touch ngo ewallet provid conveni cashless payment solut transact quick secur suitabl daili use,,positive,Touch n Go eWallet,en
annoying when promotion pop up first when open app,annoying when promotion pop up first when open app,annoy promot pop first open app,,neutral,Touch n Go eWallet,en
grab ni sangat berguna tetapi saya rasa sedikit terasa sedih la juga sebab separuh driver minta duit lebih time saya mau kosong tu lah diorang minta tambah 😔,grab ni sangat berguna tetapi saya rasa sedikit terasa sedih la juga sebab separuh driver minta duit lebih time saya mau kosong tu lah diorang minta tambah,grab guna sedih la paruh driver duit time kosong orang,😔,neutral,Grab,ms
trouble with connection of my payment card but otherwise a great app,trouble with connection of my payment card but otherwise a great app,troubl connect payment card otherwis great app,,positive,Grab,en
always lock me out whenever i receive funds from top up n transfer .. inconcenient .. embarrasing as well especially while making payment,always lock me out whenever i receive funds from top up n transfer inconcenient embarrasing as well especially while making payment,alway lock whenev receiv fund top transfer inconceni embarras well especi make payment,,negative,Touch n Go eWallet,en
the tng card balance is not updated,the tng card balance is not updated,tng card balanc not updat,,neutral,Touch n Go eWallet,en
