text,clean_text,processed_text,emojis,label,app,language
sangat baguss ini,sangat baguss ini,baguss,,positive,Touch n Go eWallet,ms
great and easy,great and easy,great easi,,positive,Touch n Go eWallet,en
i have been using more touchngo since last year and it have been really convenience using it. it merge many service on one app,i have been using more touchngo since last year and it have been really convenience using it it merge many service on one app,use touchngo sinc last year realli conveni use merg mani servic one app,,positive,Touch n Go eWallet,en
Alhamdulillah mudahkan urusan,alhamdulillah mudahkan urusan,alhamdulillah mudah urus,,positive,Touch n Go eWallet,ms
awesome. fast and reliable keep it up,awesome fast and reliable keep it up,awesom fast reliabl keep,,positive,Touch n Go eWallet,en
"After the previous update, the app took forever to load",after the previous update the app took forever to load,previous updat app took forev load,,positive,Touch n Go eWallet,en
"kejap bole bukak pastu tetiba je apk xleh buka sebab ubahsuai, apa yg ubahsuainya",kejap bole bukak pastu tetiba je apk xleh buka sebab ubahsuai apa yg ubahsuainya,kejap bole bukak pastu tetiba apk xleh buka ubahsuai yg ubahsuainya,,positive,Touch n Go eWallet,ms
very fast and responsive,very fast and responsive,fast respons,,positive,Touch n Go eWallet,en
Works perfectly for the Redmi A5. Thank you for fixing my problem!!,works perfectly for the redmi a thank you for fixing my problem,work perfect redmi thank fix problem,,positive,Touch n Go eWallet,en
good for e wallet,good for e wallet,good wallet,,positive,Touch n Go eWallet,en
so easy and so helpful for me,so easy and so helpful for me,easi help,,positive,Touch n Go eWallet,en
"“The app is simple to use and provides a smooth payment experience with good security features. It also supports QR payments, making transactions quicker and more efficient in daily life.”",“the app is simple to use and provides a smooth payment experience with good security features it also supports qr payments making transactions quicker and more efficient in daily life”,app simpl use provid smooth payment experi good secur featur also support qr payment make transact quicker effici daili life,,positive,Touch n Go eWallet,en
app terbaik👍memudahkan rakyat malaysia,app terbaikmemudahkan rakyat malaysia,app terbaikmemudahkan rakyat malaysia,👍,positive,Touch n Go eWallet,ms
"mudah sekali, masa pun jimat",mudah sekali masa pun jimat,mudah jimat,,positive,Touch n Go eWallet,ms
tng tusah betul nak pindah kan dari hp lma ke hp bru...kalau bolh jangn lh guna nbe pin log in..scam muka dan ic pun dah cukup untuk bukti yg kita ni bukan orng lain nak log in..,tng tusah betul nak pindah kan dari hp lma ke hp brukalau bolh jangn lh guna nbe pin log inscam muka dan ic pun dah cukup untuk bukti yg kita ni bukan orng lain nak log in,tng tusah nak pindah hp lma hp brukalau bolh jangn lh nbe pin log inscam muka ic dah bukti yg bukan orng nak log,,positive,Touch n Go eWallet,ms
tq... alright 👌,tq alright,tq alright,👌,positive,Touch n Go eWallet,en
"love almost everything in it except the point and the reward, they should make that the point didn't get expired because the reward here is not good and the point need for that is quite high",love almost everything in it except the point and the reward they should make that the point didnt get expired because the reward here is not good and the point need for that is quite high,love almost everyth except point reward make point didnt get expir reward not good point need quit high,,positive,Touch n Go eWallet,en
all utilities bills payment in 1 app,all utilities bills payment in app,util bill payment app,,positive,Touch n Go eWallet,en
terbaik tapi bagi la bonus ke,terbaik tapi bagi la bonus ke,baik la bonus,,positive,Touch n Go eWallet,ms
"Terima kasih mudahkan urusan, bagi kami penduduk kampung",terima kasih mudahkan urusan bagi kami penduduk kampung,terima kasih mudahkan urusan penduduk kampung,,positive,Touch n Go eWallet,en
