susp_score,current_label,corrected_label,text,app,language
5,neutral,neutral,"1st, NFC reload doesn't work with old phone, now on new phone also. CS told to uninstall & reinstall, after reinstalled, each time login crashed many times just to get to homepage with blue background then crash again. getting thru smart tag n RFID lane already bad experience now the ewallet, not including constant nationwide offline, cannot reload physical cards. troublesome with no other options. improvise la",Touch n Go eWallet,en
3,neutral,neutral,The latest update has problem to book appointments for health check up and many other services. I could not even log out even after uninstall. Please check if any bug persistent. Update: only happens on my smartphone: Samsung A55 5G. It works smoothly on my Samsung Tab S9+. Tried to clear all data from the app and it works. Please help to fix this bug if possible. It is quite a hassle.,MySejahtera,en
3,neutral,neutral,"Its not bad at all. Very convinient. Just some little irritants. 1. Ads. I'm trying to pay right now, and I get pop ups and ads. Very counter intuitive to the design of the application. 2. Can be quite slow. Generally not a problem but is confounded by the ads.",Touch n Go eWallet,en
3,neutral,neutral,Love using touch n go app. Secure fast and easy to use. But they have cancelled the auto reload from Debit cards i.e if your e wallet balance is low it will deduct from your debit card to fulfil the payment. Which was convenient specially at tolls.,Touch n Go eWallet,en
3,neutral,neutral,"Edit (30/1/25): Just set allow for mysejahtera on any ad blocker app and will be fine. I recently changed phone, installed the app and forever stuck on login page. Keep saying invalid user id or password. Helpdesk not helping, giving me same steps for 3 times. I can only login on old phone. But I dont want to be bringing two phones out every time. Please fix. My new phone is new model just out November 2024. I need the app to work so I can check my appointment dates.",MySejahtera,en
2,negative,negative,"The recent update makes it less convenient to view my eWallet balance. The app now prominently displays total assets across all TNG financial products, which may be useful for some users but is unnecessary for those who primarily use the app as an e-wallet. I preferred the previous interface, where the Wallet balance was shown by default and total assets were available under GoFinance. Please consider restoring this option to improve usability and privacy.",Touch n Go eWallet,en
2,positive,positive,Grab app is good but i have issue with sale debit eventhough i have not use the debit card anymore. i use grab wallet.. please fix it ...,Grab,ms
2,neutral,neutral,"i cant open my app. its stuck at secure with pin. but when i put on pin, it says pin setup failed. been trying since hours. i cant even chat cs when i cant even open the app.",Grab,en
2,positive,positive,Apa ke Benda ni ???@ nak buat temujanji klinik Gigi Semuanya Penuh? Temujanji yang ada kosong yang sy pernah dapat dapat January 2027? paling cepat 3bulan??? masalah orang dah sakit sangat takkan nak kena tunggu lama??Bila Call nak pergi terus tak boleh? Sistem Kejam apa yang dicipta ni?,MySejahtera,ms
2,positive,positive,"setakat 4 tahun saya guna, tak ade lagi masalah yang saya hadapi. cara nak guna mudah tapi untuk sesetangah orang mungkin susah sikit tapi untuk saya, semuanya Oke je.",MySejahtera,en
